gcc0,gcc1,gcc2,gcc3,clang0,clang1,clang2,clang3,icc0,icc1,icc2,icc3
46,7.0,5.5,5.5,45,6.1,5.5,5.5,72,61,3.6,3.6
23,7.0,5.5,5.5,23,6.1,5.5,5.5,22,6.3,3.6,3.6
19,4.6,3.3,3.3,19,3.7,3.5,3.4,18,4.2,3.5,3.6
17,4.6,3.3,3.3,17,3.8,3.5,3.4,15,3.5,3.2,3.2
16,4.6,3.3,3.3,15,3.8,3.5,3.4,16,3.5,3.2,3.2
13,3.4,2.6,2.6,13,2.6,2.6,2.6,15,3.5,3.2,3.2
13,3.4,2.5,2.6,12,2.6,2.6,2.6,13,2.4,2.2,2.2
12,2.8,2.6,1.4,11,2.6,1.4,1.4,12,2.2,2.2,2.2
12,2.8,2.6,1.4,10,2.6,1.4,1.4,12,2.2,2.2,2.2
9.3,2.8,2.6,1.4,8.3,2.6,1.4,1.4,9.6,2.2,2.2,2.2
9.3,2.8,2.6,1.4,8.3,2.6,1.4,1.4,9.6,2.2,2.2,2.2
9.3,2.3,1.9,1.0,8.3,1.9,1.0,1.0,9.6,2.2,2.2,2.2
9.3,2.3,1.9,0.72,8.3,1.9,0.69,0.69,9.6,2.2,2.2,2.2
9.3,2.2,1.9,0.72,8.3,1.9,0.69,0.69,9.6,2.2,2.2,2.2
9.3,2.2,1.5,0.79,8.3,1.3,0.62,0.62,9.6,1.5,1.4,1.4
10,2.3,1.5,0.70,9.0,1.3,0.55,0.55,10,1.5,1.4,1.5
9.3,2.3,1.5,0.7,8.3,1.3,0.55,0.55,9.6,1.5,1.4,1.5
